type,algo,cost,time,gap
Aléatoire,NN,9841.6,0.0002105712890625,23.146224880502515
Aléatoire,2-Opt,8336.6,0.004940223693847656,4.314422282839913
Aléatoire,GRASP,7991.8,0.2433537483215332,0.0
Clustered,NN,3945.4,0.00041823387145996095,17.157619669794517
Clustered,2-Opt,3424.4,0.005904960632324219,1.686661123648895
Clustered,GRASP,3367.6,0.24871091842651366,0.0
Grille,NN,11951.6,0.0005979061126708985,17.924025653675386
Grille,2-Opt,10232.8,0.004664707183837891,0.9649728663048769
Grille,GRASP,10135.0,0.21664462089538575,0.0
