n,algo,cost,time,gap
5,Exact,2011.2,0.001232004165649414,0.0
5,NN,2189.0,0.0,8.271403155581396
5,2-Opt,2011.2,0.0005036354064941406,0.0
5,GRASP,2011.2,0.008292388916015626,0.0
8,Exact,2416.0,0.004634475708007813,0.0
8,NN,2695.0,0.0,11.544238979336116
8,2-Opt,2416.0,0.0004576206207275391,0.0
8,GRASP,2416.0,0.008971738815307616,0.0
10,Exact,2850.8,0.012895154953002929,0.0
10,NN,3184.6,0.0,11.312172469626852
10,2-Opt,2895.0,0.00021491050720214843,1.4449166394246484
10,GRASP,2850.8,0.008838891983032227,0.0
12,Exact,3192.0,0.007757902145385742,0.0
12,NN,3532.8,0.0,10.066381154279266
12,2-Opt,3280.6,0.0,2.627442974031844
12,GRASP,3192.0,0.010486173629760741,0.0
